review_id,review_date,product_id,source,rating,review_text,sentiment_label,primary_aspect,verified_purchase,helpful_votes
RV00001,2024-03-02,P002,Support Follow-up,5,Excellent purchase. The SonicWave Lite has strong price and arrived in perfect condition.,positive,price,1,0
RV00002,2025-06-05,P002,Marketplace,5,Very happy with the SonicWave Lite. The sound quality exceeded my expectations and the price feels fair.,positive,sound quality,1,7
RV00003,2025-03-31,P001,Marketplace,4,Very happy with the PulseBottle Pro. The lid seal exceeded my expectations and the price feels fair.,positive,lid seal,1,5
RV00004,2025-12-07,P002,Marketplace,4,The SonicWave Lite feels reliable and the comfort is excellent. Delivery was quick and I would recommend it.,positive,comfort,1,0
RV00005,2024-01-31,P004,Marketplace,4,The AeroRun Flex feels reliable and the comfort is excellent. Delivery was quick and I would recommend it.,positive,comfort,1,17
RV00006,2025-01-22,P004,Support Follow-up,5,"I have used the AeroRun Flex for several weeks. Great comfort, simple setup, and helpful service.",positive,comfort,0,4
RV00007,2024-12-25,P003,Support Follow-up,4,Very happy with the FitTrack Neo. The display exceeded my expectations and the price feels fair.,positive,display,1,1
RV00008,2024-06-02,P002,MarketPulse Store,5,Very happy with the SonicWave Lite. The comfort exceeded my expectations and the price feels fair.,positive,comfort,1,2
RV00009,2024-08-29,P003,Marketplace,5,The FitTrack Neo feels reliable and the display is excellent. Delivery was quick and I would recommend it.,positive,display,1,4
RV00010,2025-07-15,P002,Marketplace,3,The SonicWave Lite is fine for regular use. The sound quality matches the listed specifications.,neutral,sound quality,1,0
RV00011,2025-10-23,P004,Retail Survey,3,"I received the AeroRun Flex. It works as described, although the price is neither great nor poor.",neutral,price,1,5
RV00012,2025-06-01,P001,Support Follow-up,1,The PulseBottle Pro costs too much for this level of price. I requested a return.,negative,price,1,13
RV00013,2024-01-25,P004,Support Follow-up,5,Excellent purchase. The AeroRun Flex has strong sole quality and arrived in perfect condition.,positive,sole quality,1,8
RV00014,2024-02-03,P004,Support Follow-up,4,"I have used the AeroRun Flex for several weeks. Great sole quality, simple setup, and helpful service.",positive,sole quality,1,1
